"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-09",,"59","68","48"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-10",,"60","69",
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-11",,"56","69","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-12",,"56","70","40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-13",,"59","70","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-14",,"56","69","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-16",,"58","71","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-21",,"57","69","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-23",,"59","73","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-24",,"56","70","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-25",,"58","70","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-26",,"58","70","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-27",,"56","69","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-28",,"57",,"46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-29","0.04","53","69","38"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-30","0.00","52","65","38"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-01","0.08","57","71","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-02","0.08","54","71","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-03","0.08","53","64","37"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-04","0.00","51","67","40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-05","0.16","52","67","39"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-06","0.00","58","69","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-08",,"57","69","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-09",,"62",,"39"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-10","0.02","54","68","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-11","0.00","54","69","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-12",,"55","69","40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-13",,"60","71","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-14",,"58","71","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-15",,"58","69","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-16",,"55","69","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-17",,"58","69","47"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-18",,"56","68","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-19",,"54","68","37"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-24",,"59","70","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-25",,"58","70","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-26",,"55","68","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-27",,"58","69","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-28",,"56","69","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-29",,"56","68","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-07-31",,"57","68","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-02",,"59","69","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-03",,"56","69","40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-04",,"57","69","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-05",,"58","70","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-06",,"56","70","40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-07",,"55","68","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-10","0.28","54","70","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-11","0.00","56","66",
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-12","0.08","55","66","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-13","0.08","55","70","39"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-15","0.28","55","66","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-16","0.00","59","68","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-17",,"57","68","40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-18",,"56","69","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-20",,"57","68","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-21",,"55","68","42"
